qSpecies,count,avgDBH
Cupressocyparis leylandii :: Leyland Cypress,26,17.38461538
Cupressus arizonica :: Arizona Cypress,4,32.5
Cupressus macrocarpa :: Monterey Cypress,344,29.33430233
Cupressus sempervirens :: Italian Cypress,40,4.225
Cussonia spicata :: Cabbage tree,6,4.833333333
Cycas revoluta :: Sago palm,1,12
Dicksonia antarctica :: Soft Tree Fern,6,10.66666667
Diospyros kaki :: Persimmon,1,3
Dodonaea viscosa 'Purpurea' :: Purple Hopseed Bush,86,5.209302326
Dodonaea viscosa :: Hop Bush,21,3.428571429
Dracaena draco :: Dragon Tree,6,3
Dypsis cabadae :: Cabada palm,1,3
Dypsis decaryi :: Triangle palm,1,4
Elaeocarpus decipiens :: Japanese Blueberry Tree,18,2.444444444
Eriobotrya deflexa 'Coppertone' :: Coppertone Loquat,13,4.769230769
Eriobotrya deflexa :: Bronze Loquat,466,6.143776824
Eriobotrya japonica :: Edible Loquat,46,6.5
Eucalyptus camaldulensis :: River Red Gum,19,23.26315789
Eucalyptus cinerea :: Ash-colored Eucalyptus,3,13.33333333
Eucalyptus globulus :: Blue Gum,94,27.19148936
Eucalyptus lehmanni :: Bushy Yate,16,7.875
Eucalyptus leucoxylon mac 'Rosea' :: Yellow Gum,15,15
Eucalyptus longifolia :: Woollybutt,1,12
Eucalyptus nicholii :: Nichol's Willow-Leafed Peppermint,29,21.79310345
Eucalyptus polyanthemos :: Silver Dollar Eucalyptus,197,18.6142132
Eucalyptus pulverulenta :: Silver Mountain Gum Tree,3,12
Eucalyptus robusta :: Swamp mahogany,7,16.14285714
Eucalyptus rudis :: Swamp Gum: Flooded Gum,3,13.33333333
Eucalyptus saligna :: Sidney Blue Gum,1,16
Eucalyptus sideroxylon :: Red Ironbark,150,19.98
Eucalyptus Spp :: Eucalyptus,70,28.27142857
Eucalyptus torquata :: Coral Gum,1,30
Eucalyptus viminalis :: Manna Gum,10,11.5
Fagus sylvatica :: European Beech,2,17.5
Ficus carica :: Edible Fig,15,8.066666667
Ficus laurel ::,2,10.5
Ficus macrophylla :: Morton Bay Fig,6,28
Ficus microcarpa :: Chinese Banyan,160,13.65625
Ficus microcarpa nitida 'Green Gem' :: Indian Laurel Fig Tree 'Green Gem',1425,14.45614035
Ficus nitida :: Laurel Fig,276,18.61594203
Ficus retusa nitida :: Banyan Fig,311,13.85530547
Ficus rubiginosa :: Port Jackson Fig,11,14.81818182
Ficus Spp. ::,10,5.1
Fraxinus americana 'Autumn Purple' :: American Autumn Purple Ash,11,3
Fraxinus americana :: American Ash,38,10.18421053
Fraxinus ornus :: Flowering Ash,2,26
Fraxinus oxycarpa 'Raywood' :: Raywood Ash,28,6.035714286
Fraxinus oxycarpa :: Ash,21,6.285714286
Fraxinus spp :: Ash Spp,80,8.9375
Fraxinus uhdei :: Shamel Ash: Evergreen Ash,117,22.45299145
Fraxinus velutina :: Modesto Ash,1,4
Fraxinus x Moraine :: Moraine Ash,5,23.8
Fremontodendron spp :: Flannel Bush Tree,10,4.4
Geijera parviflora :: Australian Willow,84,7.738095238
Ginkgo biloba 'Autumn Gold' :: Ginkgo: Autumn Gold,27,3
Ginkgo biloba 'Fairmont' :: Fairmont Ginkgo,12,3.916666667
Ginkgo biloba 'Princeton Sentry' :: Princeton Sentry Maidenhair,5,11
Ginkgo biloba 'Saratoga' :: Ginkgo: Saratoga,2,4.5
Ginkgo biloba :: Maidenhair Tree,662,5.614803625
Gleditsia triacanthos 'Aurea' :: Honey Locust 'Aurea',2,7
Gleditsia triacanthos 'Shademaster' :: Honey Locust 'Shademaster',2,7.5
Gleditsia triacanthos 'Sunburst' :: Sunburst Honey Locust,3,4.666666667
Gleditsia triacanthos :: Honey Locust,11,4.090909091
Grevillea 'Red Hooks' :: Silk Oak Tree 'Red Hooks',5,16.2
Grevillea robusta :: Silk Oak Tree,14,13.14285714
Grevillea spp :: Silkoak species,2,5.5
Hakea suaveolens :: Sweet Hakea Tree,18,6
Heteromeles arbutifolia :: Toyon,16,9.5625
Howea forsteriana :: Kentia Palm,3,4.666666667
Hymenosporum flavum :: Sweet Shade,22,8.363636364
Hymenosporum flavum :: Sweetshade,22,6.045454545
Ilex altaclarensis 'Wilsonii' :: Wilson Holly Tree,19,12.36842105
Ilex aquifolium :: European Holly,16,10.6875
Ilex opaca :: American Holly,1,10
Ilex spp :: Holly Species,11,5.727272727
Jacaranda mimosifolia :: Jacaranda,192,6.635416667
Jubaea chilensis :: Chilean Wine Palm,1,39
Juglans californica :: Walnut: Black (s.calif),1,18
Juglans hindsii :: Walnut: Black (n.calif),1,30
Juglans nigra :: Eastern black walnut,2,30
Juglans regia :: Walnut: English,6,14.5
Juniperus chinensis :: Juniper,344,9.034883721
Koelreuteria bipinnata :: Chinese Flame Tree,7,8
Koelreuteria paniculata :: Golden Rain Tree,49,7.408163265
Lagerstroemia indica 'Tuscarora' :: Tuscarora Crape Myrtle,1,2
Lagerstroemia indica :: Crape Myrtle,24,3.541666667
Lagerstroemia spp :: Crape myrtle species,1,6
Lagunaria patersonii :: Primrose Tree,227,3.788546256
Laurus nobilis :: Sweet Bay: Grecian Laurel,189,5.798941799
Laurus x 'Saratoga' :: Hybrid Laurel,10,2.7
Leptospermum laevigatum :: Australian Tea Tree,65,11.49230769
Leptospermum scoparium 'Ruby Glow' :: New Zealand Ruby Glow Tea Tree,9,2.444444444
Leptospermum scoparium 'Snow White' :: New Zealand White Tea Tree,1,3
Leptospermum scoparium :: New Zealand Tea Tree,106,5.20754717
Ligustrum japonicum :: Japanese Privet,36,9
Ligustrum lucidum :: Glossy Privet,481,9.873180873
Ligustrum ovalifolium :: California privet,1,6
Liquidambar orientalis :: Oriental Sweet Gum,8,5.375
Liquidambar styraciflua 'Festival' :: Festival Sweet Gum,1,6
Liquidambar styraciflua 'Palo Alto' :: Palo Alto Sweet Gum,1,3
Liquidambar styraciflua 'Rotundiloba' :: Roundleaf sweetgum,20,4.2
Liquidambar styraciflua :: American Sweet Gum,329,9.361702128
Liriodendron tulipifera :: Tulip Tree,60,10.21666667
Lophostemon confertus :: Brisbane Box,1727,8.143601621
Lyonothamnus floribundus subsp. asplenifolius :: Santa Cruz Ironwood,108,3.916666667
